iter	MAE
0	906.779983
1	827.6500577
2	758.3965286
3	695.5943429
4	640.0394379
5	591.6609494
6	546.3555194
7	507.7319314
8	472.9341525
9	441.6160839
10	414.2639439
11	389.4718612
12	368.4277402
13	349.9200658
14	332.2771414
15	316.5420648
16	301.8893737
17	289.0781029
18	277.6197428
19	266.5787449
20	258.3264533
21	249.1782497
22	241.6673759
23	234.5423297
24	228.3347104
25	222.8947874
26	217.6637553
27	213.0857179
28	208.7639193
29	204.7083049
30	201.4815834
31	198.1551349
32	195.2342954
33	192.6576782
34	190.3940022
35	188.218823
36	186.0664081
37	184.0067187
38	181.9184294
39	180.3245582
40	178.909881
41	177.7642292
42	176.5903759
43	175.451126
44	174.4070788
45	173.0847726
46	172.137435
47	171.0587108
48	169.8397709
49	168.8948832
50	168.0390996
51	167.11121
52	166.4321329
53	165.6686635
54	164.9793868
55	164.3179915
56	163.6592367
57	162.9647515
58	162.5206444
59	162.0390531
60	161.612453
61	161.0986461
62	160.7696451
63	160.2260707
64	159.8473303
65	159.3329334
66	158.9126201
67	158.4561822
68	158.0763471
69	157.6579611
70	157.3098126
71	156.6357527
72	156.1812167
73	155.7638284
74	155.397941
75	154.8840025
76	154.5656268
77	154.1038013
78	153.6045064
79	153.1480455
80	152.5583498
81	152.1605415
82	151.8026235
83	151.3997489
84	151.1299904
85	150.7042938
86	150.3806252
87	150.0171777
88	149.6369271
89	149.2774373
90	148.8602576
91	148.4768128
92	148.0802585
93	147.7304677
94	147.3919121
95	147.0382497
96	146.8145887
97	146.4160227
98	146.0646255
99	145.7896275
100	145.5531513
101	145.2695346
102	144.9943183
103	144.6202465
104	144.3000859
105	144.0329526
106	143.7702324
107	143.5401867
108	143.3439874
109	143.0618682
110	142.8589325
111	142.5598611
112	142.3781861
113	142.1484407
114	141.964122
115	141.7042093
116	141.3636271
117	141.1361866
118	140.8090922
119	140.6189553
120	140.4566821
121	140.3129731
122	140.1301186
123	139.7984941
124	139.4437436
125	139.2658709
126	139.0827293
127	138.8659463
128	138.6903885
129	138.4413619
130	138.2335399
131	138.0459475
132	137.882186
133	137.6293349
134	137.4401114
135	137.2828443
136	137.1169584
137	136.9445852
138	136.7700085
139	136.6081789
140	136.4580634
141	136.2286886
142	136.0751551
143	135.8928463
144	135.7757831
145	135.5140449
146	135.3346189
147	135.0659607
148	134.9473456
149	134.7976772
150	134.6491697
151	134.5134284
152	134.414833
153	134.2633293
154	134.1191866
155	133.9584945
156	133.7316945
157	133.6259459
158	133.4737663
159	133.3635784
160	133.0943329
161	132.9736511
162	132.8311067
163	132.6640136
164	132.4433166
165	132.3511067
166	132.1988864
167	132.0781001
168	131.9026934
169	131.7776759
170	131.6713463
171	131.5594506
172	131.4465107
173	131.3730396
174	131.2919855
175	131.1955078
176	131.090357
177	130.9723971
178	130.8602946
179	130.789295
180	130.6994581
181	130.5961885
182	130.385864
183	130.3062687
184	130.1882606
185	130.0768401
186	129.9585541
187	129.8782046
188	129.6967278
189	129.5546169
190	129.4472205
191	129.3510774
192	129.2158994
193	129.098348
194	129.0408232
195	128.9611904
196	128.8488315
197	128.678557
198	128.6140126
199	128.5295585
200	128.4232665
201	128.3666615
202	128.2284883
203	128.1214189
204	128.0305707
205	127.907683
206	127.8359608
207	127.7635455
208	127.6109275
209	127.4690703
210	127.3504197
211	127.2342589
212	127.1752396
213	127.0818111
