iter	Passed	Remaining
0	42	50537
1	77	46413
2	110	44281
3	143	42781
4	175	41976
5	209	41624
6	239	40901
7	271	40392
8	302	39987
9	333	39635
10	366	39585
11	403	39932
12	434	39692
13	465	39403
14	495	39173
15	528	39142
16	560	38989
17	591	38817
18	620	38597
19	652	38496
20	683	38374
21	714	38255
22	745	38175
23	776	38034
24	806	37908
25	836	37760
26	866	37662
27	902	37760
28	936	37799
29	967	37719
30	997	37617
31	1031	37632
32	1063	37616
33	1096	37591
34	1131	37655
35	1165	37676
36	1197	37652
37	1229	37598
38	1260	37515
39	1291	37439
40	1322	37386
41	1354	37335
42	1384	37253
43	1414	37162
44	1446	37129
45	1481	37157
46	1512	37115
47	1546	37115
48	1577	37059
49	1607	36964
50	1637	36888
51	1668	36846
52	1700	36793
53	1729	36706
54	1759	36626
55	1789	36564
56	1818	36473
57	1851	36453
58	1882	36400
59	1913	36347
60	1943	36295
61	1974	36237
62	2006	36210
63	2038	36191
64	2068	36117
65	2098	36058
66	2129	36016
67	2161	35980
68	2193	35948
69	2223	35888
70	2253	35833
71	2284	35795
72	2314	35731
73	2344	35673
74	2375	35625
75	2405	35580
76	2438	35565
77	2471	35554
78	2503	35518
79	2535	35500
80	2568	35480
81	2598	35426
82	2629	35381
83	2661	35362
84	2692	35317
85	2722	35272
86	2753	35224
87	2783	35179
88	2815	35149
89	2849	35146
90	2882	35128
91	2913	35089
92	2943	35035
93	2975	35003
94	3007	34976
95	3039	34954
96	3072	34940
97	3104	34911
98	3137	34891
99	3169	34860
100	3200	34821
101	3230	34776
102	3261	34740
103	3292	34696
104	3324	34664
105	3355	34633
106	3386	34591
107	3417	34553
108	3448	34515
109	3479	34482
110	3509	34429
111	3541	34400
112	3576	34403
113	3613	34424
114	3643	34380
115	3675	34348
116	3706	34312
117	3739	34289
118	3771	34262
119	3805	34248
120	3838	34226
121	3870	34200
122	3900	34157
123	3931	34119
124	3963	34087
125	3994	34050
126	4026	34017
127	4057	33982
128	4090	33964
129	4126	33960
130	4160	33951
131	4191	33915
132	4222	33874
133	4252	33826
134	4283	33792
135	4314	33751
136	4345	33720
137	4378	33697
138	4409	33658
139	4439	33615
140	4470	33577
141	4501	33536
142	4533	33506
143	4562	33459
144	4593	33422
145	4628	33411
146	4663	33404
147	4694	33371
148	4725	33330
149	4755	33289
150	4786	33254
151	4817	33218
152	4847	33173
153	4880	33148
154	4911	33110
155	4942	33073
156	4973	33037
157	5002	32989
158	5033	32955
159	5063	32914
160	5096	32887
161	5125	32840
162	5156	32806
163	5195	32817
164	5227	32787
165	5257	32748
166	5288	32710
167	5319	32675
168	5348	32629
169	5379	32591
170	5408	32546
171	5439	32510
172	5469	32470
173	5501	32441
174	5532	32405
175	5563	32368
176	5594	32335
177	5626	32302
178	5656	32264
179	5689	32240
180	5725	32231
181	5757	32206
182	5789	32176
183	5820	32136
184	5850	32101
185	5881	32062
186	5914	32040
187	5947	32016
188	5978	31982
189	6010	31952
190	6042	31919
191	6074	31890
192	6106	31863
193	6139	31834
194	6169	31797
195	6200	31761
196	6234	31739
197	6267	31715
198	6297	31678
199	6327	31639
200	6360	31610
201	6390	31573
202	6422	31541
203	6452	31504
204	6483	31467
205	6514	31434
206	6545	31400
207	6575	31360
208	6606	31326
209	6637	31291
210	6666	31249
211	6696	31208
212	6726	31169
213	6759	31145
214	6794	31127
215	6824	31090
216	6856	31058
217	6886	31020
218	6917	30984
219	6947	30949
220	6978	30915
221	7009	30880
222	7040	30845
223	7070	30807
224	7101	30773
225	7132	30737
226	7164	30707
227	7195	30676
228	7226	30643
229	7257	30605
230	7293	30595
231	7328	30578
232	7360	30548
233	7393	30521
234	7424	30489
235	7457	30460
236	7489	30431
237	7520	30397
238	7552	30369
239	7583	30334
240	7615	30302
241	7644	30263
242	7675	30227
243	7707	30197
244	7737	30162
245	7769	30130
246	7802	30102
247	7836	30081
248	7867	30049
249	7899	30018
250	7934	29998
251	7964	29959
252	7995	29927
253	8026	29892
254	8056	29857
255	8086	29817
256	8116	29781
257	8148	29750
258	8181	29725
259	8214	29696
260	8245	29665
261	8277	29633
262	8308	29601
263	8339	29566
264	8374	29547
265	8406	29516
266	8436	29481
267	8468	29448
268	8499	29417
269	8533	29393
270	8565	29364
271	8596	29329
272	8627	29294
273	8658	29262
274	8688	29226
275	8719	29191
276	8751	29161
277	8782	29126
278	8813	29095
279	8846	29067
280	8881	29045
281	8912	29012
282	8942	28976
283	8975	28949
284	9007	28919
285	9039	28888
286	9069	28851
287	9100	28816
288	9131	28783
289	9160	28746
290	9192	28713
291	9222	28678
292	9253	28646
293	9284	28611
294	9316	28580
295	9345	28541
296	9376	28507
297	9411	28487
298	9443	28455
299	9473	28420
300	9505	28390
301	9538	28364
302	9570	28332
303	9602	28302
304	9634	28272
305	9666	28242
306	9697	28209
307	9728	28174
308	9759	28140
309	9789	28106
310	9820	28072
311	9851	28039
312	9883	28007
313	9916	27980
314	9953	27965
315	9985	27935
316	10017	27902
317	10048	27869
318	10080	27839
319	10111	27806
320	10142	27773
321	10174	27742
322	10204	27708
323	10237	27679
324	10267	27641
325	10296	27604
326	10327	27572
327	10359	27540
328	10390	27508
329	10422	27478
330	10457	27453
331	10488	27422
332	10520	27390
333	10551	27358
334	10582	27325
335	10613	27292
336	10644	27257
337	10674	27224
338	10706	27192
339	10737	27159
340	10768	27127
341	10801	27097
342	10833	27067
343	10864	27033
344	10894	26999
345	10925	26967
346	10957	26935
347	10992	26912
348	11022	26877
349	11053	26843
350	11084	26812
351	11118	26786
352	11152	26758
353	11184	26728
354	11216	26697
355	11246	26664
356	11277	26631
357	11309	26598
358	11339	26565
359	11371	26532
360	11403	26501
361	11434	26469
362	11465	26436
363	11500	26412
364	11536	26391
365	11568	26361
366	11599	26328
367	11631	26297
368	11664	26268
369	11695	26234
370	11725	26201
371	11756	26168
372	11788	26136
373	11820	26106
374	11852	26075
375	11883	26043
376	11915	26011
377	11945	25976
378	11978	25948
379	12011	25918
380	12045	25894
381	12078	25865
382	12109	25831
383	12139	25796
384	12169	25760
385	12199	25727
386	12231	25695
387	12261	25661
388	12294	25631
389	12326	25600
390	12357	25569
391	12388	25535
392	12420	25504
393	12451	25472
394	12485	25444
395	12516	25412
396	12550	25385
397	12584	25358
398	12615	25325
399	12646	25292
400	12677	25259
401	12707	25225
402	12740	25195
403	12770	25162
404	12802	25131
405	12833	25098
406	12865	25066
407	12896	25034
408	12928	25003
409	12960	24973
410	12995	24947
411	13028	24917
412	13061	24889
413	13097	24867
414	13136	24847
415	13169	24820
416	13217	24818
417	13262	24810
418	13312	24813
419	13359	24809
420	13396	24788
421	13430	24760
422	13461	24727
423	13492	24692
424	13524	24661
425	13569	24654
426	13618	24653
427	13666	24651
428	13707	24635
429	13753	24629
430	13804	24630
431	13847	24617
432	13886	24598
433	13934	24594
434	13984	24594
435	14030	24586
436	14078	24581
437	14123	24571
438	14160	24547
439	14195	24519
440	14229	24489
441	14261	24457
442	14291	24422
443	14322	24387
444	14353	24353
445	14388	24324
446	14419	24291
447	14451	24257
448	14483	24225
449	14516	24194
450	14547	24160
451	14577	24124
452	14609	24090
453	14643	24062
454	14676	24031
455	14707	23997
456	14740	23964
457	14785	23953
458	14829	23940
459	14878	23935
460	14924	23924
461	14970	23913
462	15008	23889
463	15044	23863
464	15076	23829
465	15106	23794
466	15137	23759
467	15172	23731
468	15208	23703
469	15238	23668
470	15271	23636
471	15302	23602
472	15333	23568
473	15366	23535
474	15397	23502
475	15429	23468
476	15460	23434
477	15493	23401
478	15524	23367
479	15556	23334
480	15586	23298
481	15619	23267
482	15652	23235
483	15683	23200
484	15715	23167
485	15747	23135
486	15780	23103
487	15812	23069
488	15843	23036
489	15921	23070
490	15953	23036
491	15985	23002
492	16017	22969
493	16047	22934
494	16081	22904
495	16112	22869
496	16142	22833
497	16172	22797
498	16203	22763
499	16240	22737
500	16273	22704
501	16306	22673
502	16338	22639
503	16369	22605
504	16401	22572
505	16432	22537
506	16462	22502
507	16493	22467
508	16524	22433
509	16556	22400
510	16588	22366
511	16620	22334
512	16652	22300
513	16683	22266
514	16716	22234
515	16750	22203
516	16782	22170
517	16815	22138
518	16847	22106
519	16879	22073
520	16909	22038
521	16940	22002
522	16970	21967
523	17002	21935
524	17034	21901
525	17065	21866
526	17095	21832
527	17126	21797
528	17157	21762
529	17189	21729
530	17266	21753
531	17304	21727
532	17335	21693
533	17366	21658
534	17397	21624
535	17428	21590
536	17459	21556
537	17489	21521
538	17520	21486
539	17552	21453
540	17583	21419
541	17617	21387
542	17650	21356
543	17682	21322
544	17713	21288
545	17744	21253
546	17782	21228
547	17818	21200
548	17849	21165
549	17880	21131
550	17911	21096
551	17942	21063
552	17973	21028
553	18005	20996
554	18037	20962
555	18068	20928
556	18098	20893
557	18131	20860
558	18162	20827
559	18194	20793
560	18226	20760
561	18257	20726
562	18290	20694
563	18323	20663
564	18356	20630
565	18389	20598
566	18419	20563
567	18451	20530
568	18481	20495
569	18512	20460
570	18542	20425
571	18608	20430
572	18639	20396
573	18671	20362
574	18701	20327
575	18733	20295
576	18766	20262
577	18800	20231
578	18836	20202
579	18871	20172
580	18903	20139
581	18934	20105
582	18963	20069
583	18993	20034
584	19024	20000
585	19056	19967
586	19089	19935
587	19121	19901
588	19152	19867
589	19183	19833
590	19214	19799
591	19247	19767
592	19280	19735
593	19312	19702
594	19344	19669
595	19378	19639
596	19409	19604
597	19441	19571
598	19473	19538
599	19504	19504
600	19536	19471
601	19569	19439
602	19599	19404
603	19630	19370
604	19660	19335
605	19692	19302
606	19723	19268
607	19756	19236
608	19787	19202
609	19818	19168
610	19850	19135
611	19885	19105
612	19916	19072
613	19948	19038
614	19978	19004
615	20011	18971
616	20044	18939
617	20076	18906
618	20108	18873
619	20138	18839
620	20170	18806
621	20201	18772
622	20231	18738
623	20262	18703
624	20292	18669
625	20323	18635
626	20355	18602
627	20387	18569
628	20422	18539
629	20453	18505
630	20484	18471
631	20514	18437
632	20546	18404
633	20577	18370
634	20609	18337
635	20640	18304
636	20670	18269
637	20704	18237
638	20736	18205
639	20768	18172
640	20799	18139
641	20832	18106
642	20863	18073
643	20895	18040
644	20931	18011
645	20965	17979
646	20995	17944
647	21027	17912
648	21058	17878
649	21090	17845
650	21123	17814
651	21155	17781
652	21187	17747
653	21219	17714
654	21286	17712
655	21320	17680
656	21350	17645
657	21379	17610
658	21410	17576
659	21444	17545
660	21475	17511
661	21506	17477
662	21537	17444
663	21568	17410
